owner_org,request_number,reason
aafc-aac,A-2018-00045,Misc/Different entries with same request number
cnsopb,"10,555.22",Misc/Different entries with same request number
cta-otc,A-2018-00008,Misc/Different entries with same request number
fintrac-canafe,A-2020-00057,Misc/Different entries with same request number
oci-bec,A2020-00026,Misc/Different entries with same request number
ocol-clo,A-2020-027,Misc/Different entries with same request number
ocol-clo,A-2021-002,Misc/Different entries with same request number
pch,A-2020-00023,Misc/Different entries with same request number
pwgsc-tpsgc,A-2021-00319,Misc/Different entries with same request number
sshrc-crsh,A-2020-00001,Misc/Different entries with same request number
vac-acc,AI-2018-00007,Misc/Different entries with same request number
catsa-acsta,A-2020-00003,Misc/Entries with same request number but slightly different descriptions
cgc-ccg,A3-2019-00004,Misc/Entries with same request number but slightly different descriptions
cic,2A-2020-01732,Misc/Entries with same request number but slightly different descriptions
cic,A-2018-07365,Misc/Entries with same request number but slightly different descriptions
cic,A-2019-49791,Misc/Entries with same request number but slightly different descriptions
cic,A-2019-55122,Misc/Entries with same request number but slightly different descriptions
csc-scc,A-2018-00119,Misc/Entries with same request number but slightly different descriptions
csc-scc,A-2019-00292,Misc/Entries with same request number but slightly different descriptions
csis-scrs,A-2020-31,Misc/Entries with same request number but slightly different descriptions
dfatd-maecd,A-2018-00588,Misc/Entries with same request number but slightly different descriptions
dfatd-maecd,A-2018-01407,Misc/Entries with same request number but slightly different descriptions
dnd-mdn,A-2018-00698,Misc/Entries with same request number but slightly different descriptions
hc-sc,A-2020-000445,Misc/Entries with same request number but slightly different descriptions
hc-sc,A-2021-000592,Misc/Entries with same request number but slightly different descriptions
hc-sc,A-2021-000593,Misc/Entries with same request number but slightly different descriptions
hc-sc,A-2019-001345,Misc/Entries with same request number but slightly different descriptions
hc-sc,A-2019-001975,Misc/Entries with same request number but slightly different descriptions
iaac-aeic,A-2020-00049,Misc/Entries with same request number but slightly different descriptions
iaac-aeic,A-2020-00050,Misc/Entries with same request number but slightly different descriptions
ic,A-2019-00886,Misc/Entries with same request number but slightly different descriptions
isc-sac,A-2019-00329,Misc/Entries with same request number but slightly different descriptions
isc-sac,A-2019-00427,Misc/Entries with same request number but slightly different descriptions
isc-sac,A-2019-00451,Misc/Entries with same request number but slightly different descriptions
ngc-mbac,3025-009-A2020-008,Misc/Entries with same request number but slightly different descriptions
ngc-mbac,3025-009-A2021-001,Misc/Entries with same request number but slightly different descriptions
nrcan-rncan,A-2020-00420,Misc/Entries with same request number but slightly different descriptions
nserc-crsng,A-2017-00008,Misc/Entries with same request number but slightly different descriptions
ocl-cal,A-2019-2020-012,Misc/Entries with same request number but slightly different descriptions
ocol-clo,A-2021-015,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00163,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00164,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00167,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00169,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00173,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00174,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00175,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00176,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00177,Misc/Entries with same request number but slightly different descriptions
opc-cpvp,A-2019-00179,Misc/Entries with same request number but slightly different descriptions
