owner_org,request_number,year,month,summary_en,summary_fr,disposition,pages,comments_en,comments_fr,umd_number,owner_org_title,reason
aafc-aac,A-2021-00073,2022,5,"Copies of all correspondence/email letters on all subjects, including attachments, sent or received by the Minister and Deputy Minister of Agriculture Canada from August 1, 2021 to November 16, 2021.","Copies de toute la correspondance et des lettres électroniques sur tous les sujets, y compris les pièces jointes, envoyées ou reçues par la ministre et le sous-ministre d’Agriculture Canada entre le 1er août 2021 et le 16 novembre 2021.",DP (Disclosed in part / Communication partielle),111,NA,NA,2,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,NA
aafc-aac,A-2021-00073,2022,5,"Copies of all correspondence/email letters on all subjects, including attachments, sent or received by the Minister and Deputy Minister of Agriculture Canada from August 1, 2021 to November 16, 2021.","Copies de toute la correspondance et des lettres électroniques sur tous les sujets, y compris les pièces jointes, envoyées ou reçues par la ministre et le sous-ministre d’Agriculture Canada entre le 1er août 2021 et le 16 novembre 2021.",DP (Disclosed in part / Communication partielle),1129,NA,NA,2,Agriculture and Agri-Food Canada | Agriculture et Agroalimentaire Canada,NA
aandc-aadnc,A-2020-00187,2021,4,Documents relating to the recognition of Maigan Agik as a temporary legitimate community.,Documents relatifs à la reconnaissance de Maigan Agik comme communauté légitime temporaire.,NE (No records exist / Aucun document n’existe),0,NA,NA,57,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,NA
aandc-aadnc,A-2020-00187,2022,10,"Material prepared between of February 6th to March 1st 2020 for Min. Miller’s meeting on February 15, 2020, regarding the CN Rail disruptions at Tyendinaga, and specially any meeting materials produced or shared between CIRNAC and CN Rail.","Matériel préparé entre le 6 février et le 1er mars 2020 pour la réunion du Ministre Miller du 15 février 2020 concernant les perturbations du CN Rail à Tyendinaga, et en particulier tout matériel de réunion produit ou partagé entre RCAANC et CN Rail.",DP (Disclosed in part / Communication partielle),226,NA,NA,57,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,NA
aandc-aadnc,A-2021-00094,2021,9,"All documents prepared from April 1, 2021 to June 30, 2021, in relation to Private Member's Bill C-230, An Act respecting the development of a national strategy to address environmental racism.","Documents datant du 1er avril 2021 au 30 juin 2021,préparées relativement au projet de loi d’initiative parlementaire C-230, Loi concernant l’élaboration d’une stratégie nationale visant à remédier au racisme environnemental.",NE (No records exist / Aucun document n’existe),0,NA,NA,57,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,NA
aandc-aadnc,A-2021-00094,2022,11,Records on NIHB contracts between FNIHB and pharmaceutical or medical companies created between Jan 1. 2001 and Jun. 22 2021.,Dossiers sur les contrats des SSNA entre la DGSPNI et les entreprises pharmaceutiques ou médicales créés entre le 1er janvier 2001 et le 22 juin 2021.,DP (Disclosed in part / Communication partielle),23,NA,NA,57,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,NA
aandc-aadnc,A-2022-00035,2022,9,"Documents relating to employees who accepted opportunities between March 1, 2022 and June 1, 2022 in the following programs: United Way East Ontario, Loaned Representative Program and the Community Secondment Program.","Documents relatifs aux employés qui ont accepté des opportunités entre le 1er mars 2022 et le 1er juin 2022 dans les programmes suivants : Centraide Est de l'Ontario, programme de représentant prêté et programme de détachement communautaire.",DP (Disclosed in part / Communication partielle),39,NA,NA,57,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,NA
aandc-aadnc,A-2022-00035,2022,11,"Request a copy of the 'Hatch Ltd., Kashechewan First Nation Flood Reduction Study Stage 4 Report, November, 2017'. PDF copy.","Demandez une copie du rapport de l'étape 4 de l'étude sur la réduction des inondations de la Première Nation de Kashechewan, Hatch Ltd., novembre 2017. Copie PDF.",DP (Disclosed in part / Communication partielle),2,NA,NA,57,Crown-Indigenous Relations and Northern Affairs Canada | Relations Couronne-Autochtones et Affaires du Nord Canada,NA
bdc,ATI2022-001,2021,4,Client File Information,Information Dossier Client,EX (All exempted / Exception totale),0,NA,NA,135,Business Development Bank of Canada | Banque de développement du Canada,NA
bdc,ATI2022-001,2021,4,Client File Information,Information Dossier Client,EC (All excluded / Exclusion totale),0,NA,NA,135,Business Development Bank of Canada | Banque de développement du Canada,NA
